EmployeeID,TrainingHoursCompleted,CertificationsEarned,InternalJobApplications,PromotionEligibilityStatus,MentorshipParticipation,SkillAssessmentScores
111065,107,4,2,No,No,77
106080,56,3,0,No,No,82
106452,97,1,2,No,No,97
106325,19,2,1,No,No,90
111171,111,0,0,No,No,62
106419,76,0,2,No,No,92
100309,65,3,2,Yes,Yes,94
110500,25,2,1,Yes,Yes,74
110533,107,4,0,No,Yes,91
110927,87,2,0,No,No,85
105548,91,3,2,Yes,Yes,76
111354,79,3,0,No,No,87
100895,79,2,2,No,No,56
110783,92,3,0,No,No,54
105507,104,2,2,No,No,92
106710,108,1,0,No,No,94
101236,28,2,1,No,No,80
105985,7,2,0,No,No,72
111202,26,3,0,Yes,No,91
100621,57,3,1,No,Yes,59
100301,6,0,0,No,Yes,81
101120,92,0,1,No,No,92
101124,112,1,0,No,No,79
110788,34,0,2,No,Yes,88
105394,42,2,2,No,No,80
101226,6,3,0,Yes,No,67
105911,68,0,0,No,No,85
110566,64,0,0,No,No,51
106577,25,1,2,No,No,63
106473,37,1,0,Yes,No,62
100603,80,2,2,No,No,78
106411,62,3,1,No,No,61
100730,26,1,2,No,No,88
106540,112,0,2,No,No,51
106529,93,3,1,Yes,Yes,81
110848,53,3,2,No,No,62
105437,95,0,0,No,Yes,95
110342,63,1,0,Yes,Yes,76
110552,46,0,2,No,No,98
111140,96,3,0,No,No,90
100373,64,4,2,No,No,66
106561,84,4,0,Yes,Yes,89
110363,19,2,0,No,No,80
101682,66,0,2,Yes,No,83
105543,66,0,0,No,No,73
101626,51,2,2,Yes,No,94
110505,66,2,0,No,No,84
106141,55,2,0,No,Yes,97
111250,112,3,1,No,No,55
105390,59,0,1,No,Yes,68
100381,68,3,2,Yes,Yes,79
105634,7,2,1,No,No,56
100826,105,0,2,No,Yes,59
110407,55,3,1,No,No,90
101188,11,3,0,Yes,Yes,81
105820,25,2,2,Yes,No,83
111184,77,0,2,Yes,Yes,77
111302,43,2,0,No,No,64
111533,22,0,2,No,No,79
106660,8,4,2,No,Yes,86
105937,93,1,1,Yes,No,78
101053,64,1,2,No,No,71
111692,18,1,0,No,No,53
111397,118,2,1,No,Yes,69
100674,13,4,1,Yes,No,81
110454,94,0,0,No,No,85
100769,57,3,0,Yes,No,99
105779,6,0,1,No,No,53
110642,88,3,2,No,No,76
110524,96,0,1,Yes,Yes,66
106501,115,4,0,No,No,61
105688,64,3,1,Yes,No,71
110612,75,2,0,No,Yes,66
110478,48,0,1,No,No,59
105370,12,0,2,No,No,50
100852,51,3,1,No,No,71
106462,39,2,1,No,No,75
101163,82,2,0,No,No,67
110312,85,4,0,No,No,99
100942,40,2,0,No,No,63
106620,54,2,1,No,Yes,96
105538,108,2,2,No,No,78
100515,8,1,0,No,No,61
106245,6,4,0,No,No,85
110699,10,0,1,No,Yes,84
105678,58,3,0,No,Yes,61
111089,110,0,2,Yes,Yes,56
110423,8,4,2,No,Yes,78
110646,58,3,0,No,No,60
105419,97,4,0,No,Yes,82
100597,67,2,1,Yes,No,55
100992,22,3,2,Yes,No,96
101306,94,2,2,No,No,64
100919,48,0,0,No,No,81
106638,38,0,1,No,No,60
105429,78,3,2,Yes,No,72
110932,66,3,2,No,No,75
100760,104,4,1,Yes,Yes,83
100639,18,4,1,No,No,95
111049,99,2,2,Yes,Yes,83
111157,52,3,2,Yes,Yes,78
100957,19,0,1,No,No,53
111083,76,4,2,No,Yes,66
110793,82,4,0,No,No,84
105969,91,0,0,No,No,62
111235,66,4,1,No,No,90
101192,44,2,1,Yes,No,88
100610,89,3,1,No,No,64
111209,84,0,0,No,No,78
100350,113,3,2,No,Yes,78
110652,86,4,0,No,No,60
101407,115,4,2,No,Yes,81
101389,57,0,0,No,No,51
111290,28,2,2,No,Yes,96
101037,30,1,0,No,No,63
106436,93,0,1,Yes,Yes,69
105558,64,1,0,No,No,71
101331,113,1,2,No,No,60
106599,45,2,0,Yes,No,76
106697,33,1,0,No,Yes,52
101264,19,1,0,No,No,66
105488,49,2,1,No,No,93
111373,69,1,0,No,Yes,77
100398,93,1,1,Yes,Yes,78
111266,75,1,1,No,No,70
106608,13,0,0,No,No,96
100899,92,0,0,No,No,65
101662,5,0,0,No,No,86
111427,112,2,2,No,Yes,69
105592,12,4,0,No,Yes,55
111366,92,1,1,No,Yes,68
105986,67,1,0,No,No,54
110774,15,2,2,Yes,Yes,52
101510,119,1,0,No,Yes,50
106109,85,0,2,Yes,Yes,87
111569,12,4,2,Yes,No,64
105734,39,3,0,Yes,No,83
101130,39,1,1,Yes,No,84
101511,37,0,2,No,No,98
106347,9,3,0,No,No,74
110842,110,4,0,No,Yes,73
106446,107,3,1,Yes,No,61
101635,45,0,2,No,No,67
100561,32,3,2,No,No,64
105711,11,2,0,No,No,93
105923,77,3,0,No,No,65
105357,76,1,1,No,No,76
100884,16,1,1,Yes,No,57
110481,38,2,2,No,No,95
106483,37,0,2,No,No,74
111591,52,1,0,No,No,66
100906,27,4,2,Yes,Yes,78
111326,66,1,1,No,No,57
106294,92,1,1,No,Yes,64
106605,41,0,0,No,No,76
100801,103,3,1,No,No,95
101422,48,1,1,No,No,99
110471,108,2,1,Yes,No,56
100326,90,3,1,Yes,Yes,52
110665,95,4,0,No,Yes,78
105902,39,0,0,No,No,93
111703,69,4,2,No,Yes,73
101100,103,3,1,No,Yes,52
100468,105,3,2,No,No,69
110703,51,3,0,No,No,95
106494,82,4,0,No,No,64
110380,7,3,0,No,Yes,74
111198,5,4,0,No,No,79
101652,9,3,0,No,No,63
110461,94,2,0,No,No,56
111276,18,3,0,No,No,66
111220,107,4,1,No,Yes,93
110580,31,1,2,No,No,69
111584,13,3,0,No,No,85
101154,83,1,1,Yes,No,58
101274,19,2,1,Yes,No,87
101647,94,0,2,No,No,97
100762,46,2,0,No,No,71
101345,81,3,2,No,No,51
105323,55,1,0,No,No,73
110858,67,1,1,No,No,57
111318,100,4,1,Yes,No,60
106017,107,1,1,No,No,62
106687,117,4,1,No,No,66
106013,56,0,2,No,No,57
106314,100,3,0,No,No,70
105458,8,4,0,No,No,67
110836,98,0,2,No,No,79
110980,105,1,0,No,No,67
106008,27,1,1,No,Yes,95
105441,107,0,0,Yes,Yes,96
101666,113,1,1,Yes,Yes,80
105754,19,0,2,No,No,87
100874,47,4,0,No,Yes,81
101560,33,4,2,No,Yes,60
100869,40,0,0,Yes,Yes,94
105997,17,4,1,No,Yes,74
101005,36,4,2,No,Yes,82
110876,75,4,0,No,No,87
100520,63,2,1,No,No,90
105889,119,3,2,No,Yes,57
100620,90,1,2,No,Yes,60
106555,32,2,0,No,Yes,71
106392,70,4,0,No,Yes,73
106285,46,0,0,No,No,90
110412,49,4,1,Yes,No,66
100799,66,3,0,No,Yes,61
106480,61,4,2,No,No,95
106383,10,0,2,No,Yes,81
105808,32,3,0,No,No,64
100815,32,4,0,No,No,65
100692,112,3,2,No,No,71
111356,48,1,1,No,Yes,77
110833,88,1,0,Yes,No,69
106621,34,4,0,No,Yes,82
101147,66,3,2,Yes,Yes,59
105401,79,0,0,No,Yes,89
101615,96,4,1,No,Yes,81
105685,93,1,2,Yes,No,99
101499,107,1,0,Yes,No,82
101434,66,4,2,Yes,Yes,51
110746,101,3,0,No,No,82
101401,5,1,0,No,No,82
110590,31,3,0,Yes,No,90
106673,66,1,1,No,No,62
110450,81,1,1,No,No,79
100709,109,2,2,Yes,No,82
111486,7,1,0,No,No,62
106069,107,0,0,No,Yes,75
105293,74,4,1,No,No,71
106467,76,4,0,Yes,No,88
110725,31,3,1,Yes,Yes,51
101023,13,1,0,Yes,No,87
100317,66,0,2,No,Yes,88
105736,41,3,0,No,Yes,75
100526,101,2,0,Yes,Yes,95
100338,55,3,1,Yes,Yes,99
105951,110,3,0,Yes,No,64
100282,48,1,0,Yes,No,83
105296,28,2,1,No,No,91
101058,83,3,2,No,No,93
111572,63,0,2,No,Yes,98
105574,36,0,1,Yes,No,89
110865,100,4,1,No,No,60
100667,92,2,1,No,No,52
101043,109,2,1,No,Yes,55
101525,56,4,1,Yes,No,58
110658,117,3,2,No,No,55
100353,66,2,2,No,No,58
101543,117,0,1,Yes,No,88
106547,62,0,0,No,No,80
106093,56,1,1,No,No,81
111299,16,2,0,No,No,90
111643,43,3,1,No,Yes,99
111176,6,4,1,No,No,61
106363,7,4,2,No,No,57
100583,117,3,0,No,No,57
101135,105,1,0,Yes,Yes,99
100821,117,4,2,No,Yes,77
101114,60,2,2,Yes,No,69
106442,85,1,2,No,Yes,96
106459,63,2,2,Yes,No,56
106166,117,0,0,Yes,Yes,60
110277,6,1,0,No,Yes,69
106590,6,4,1,No,No,65
105963,96,1,1,Yes,No,53
111680,58,1,2,Yes,Yes,55
111336,91,1,2,Yes,Yes,71
110287,105,1,2,No,Yes,75
100973,100,2,1,No,No,52
106029,101,0,1,No,Yes,90
100950,5,3,1,No,No,91
110492,23,1,1,No,No,63
111104,6,4,1,No,Yes,60
100718,57,1,1,Yes,No,67
106225,48,4,1,Yes,No,61
106518,94,2,2,No,Yes,72
106073,36,4,2,No,No,61
100331,74,3,2,No,No,62
106257,36,0,2,No,No,74
111378,72,4,1,No,No,94
100628,59,4,0,No,No,68
106034,79,0,1,No,No,95
106254,60,3,0,No,No,85
110433,21,1,2,No,No,94
110744,42,4,1,No,No,57
106214,28,0,2,Yes,No,78
