EmployeeID,JobSatisfactionScore,WorkLifeBalanceRating,ManagerSatisfactionScore,CareerGrowthSatisfaction,CompensationSatisfaction,WorkEnvironmentSatisfaction,source,frequency
111065,4,3,1,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
106080,4,5,2,5,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
106452,3,4,3,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
106325,3,5,3,2,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
111171,4,5,2,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
106419,2,1,2,5,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
100309,2,1,4,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
110500,4,3,3,5,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
110533,3,2,3,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
110927,3,5,4,5,1,3,Employee Surveys/Feedback Forms,Quarterly surveys
105548,2,5,3,4,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
111354,3,4,5,2,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
100895,1,3,4,5,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
110783,4,1,2,3,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
105507,2,2,4,5,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
106710,4,4,1,5,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
101236,3,5,4,3,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
105985,3,2,5,5,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
111202,4,5,4,5,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
100621,5,5,5,2,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
100301,5,5,2,3,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
101120,5,2,4,2,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
101124,5,4,5,5,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
110788,2,3,1,2,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
105394,5,1,2,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
101226,5,4,2,1,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
105911,1,4,5,5,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
110566,5,2,3,5,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
106577,2,4,1,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
106473,2,3,5,4,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
100603,5,4,1,1,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
106411,3,2,3,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
100730,1,2,5,3,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
106540,4,1,4,2,1,3,Employee Surveys/Feedback Forms,Quarterly surveys
106529,3,5,1,2,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
110848,2,5,4,5,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
105437,2,5,3,3,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
110342,4,5,3,1,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110552,3,2,1,4,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
111140,1,2,5,1,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
100373,3,4,2,5,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
106561,4,3,5,2,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
110363,5,4,3,2,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
101682,4,4,1,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
105543,4,2,2,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
101626,1,1,2,4,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
110505,4,4,5,2,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
106141,3,3,3,2,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
111250,4,2,2,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
105390,2,4,4,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100381,3,5,1,4,4,3,Employee Surveys/Feedback Forms,Quarterly surveys
105634,3,3,3,3,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
100826,2,3,4,2,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110407,2,3,5,5,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
101188,3,1,4,2,1,2,Employee Surveys/Feedback Forms,Quarterly surveys
105820,4,4,5,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
111184,4,2,5,4,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
111302,4,3,4,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
111533,2,5,3,4,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
106660,2,5,4,3,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
105937,4,1,4,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
101053,3,4,3,4,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
111692,2,2,5,1,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
111397,1,4,3,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
100674,3,3,2,4,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
110454,2,3,2,3,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
100769,5,5,1,4,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
105779,5,2,3,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
110642,3,5,2,5,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
110524,2,3,5,2,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
106501,2,3,4,4,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
105688,1,5,1,2,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
110612,3,3,1,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
110478,2,5,3,3,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
105370,1,2,3,4,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
100852,3,5,2,4,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
106462,3,4,4,1,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
101163,3,1,2,4,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
110312,3,2,3,5,4,3,Employee Surveys/Feedback Forms,Quarterly surveys
100942,5,4,2,5,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
106620,2,4,5,4,4,3,Employee Surveys/Feedback Forms,Quarterly surveys
105538,2,4,2,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
100515,1,5,1,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
106245,2,2,1,2,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
110699,4,2,4,4,1,3,Employee Surveys/Feedback Forms,Quarterly surveys
105678,3,1,3,4,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
111089,5,2,3,3,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
110423,2,4,4,5,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110646,1,3,3,4,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
105419,2,4,1,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100597,2,3,1,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
100992,5,2,3,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
101306,4,2,3,3,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
100919,5,1,2,3,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
106638,2,2,5,2,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
105429,5,2,4,2,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
110932,2,4,5,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100760,2,4,5,1,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
100639,2,3,3,5,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
111049,4,2,1,4,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
111157,4,2,5,5,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
100957,3,1,4,4,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
111083,4,5,4,4,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
110793,2,5,1,3,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
105969,2,4,5,5,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
111235,5,4,3,1,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
101192,4,2,5,4,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
100610,2,4,3,5,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
111209,4,4,4,4,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
100350,2,5,2,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
110652,2,3,3,5,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
101407,4,3,2,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
101389,3,4,4,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
111290,4,3,5,5,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
101037,4,3,2,4,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
106436,5,5,2,1,1,2,Employee Surveys/Feedback Forms,Quarterly surveys
105558,5,3,4,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
101331,2,2,3,2,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
106599,3,5,2,3,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
106697,2,5,3,2,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
101264,4,4,3,2,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
105488,3,3,3,5,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
111373,1,5,3,4,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
100398,4,5,3,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
111266,4,1,4,4,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
106608,1,1,4,3,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
100899,4,5,4,1,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
101662,3,1,5,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
111427,4,3,5,3,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
105592,4,3,1,3,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
111366,3,2,1,5,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
105986,4,3,4,5,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
110774,2,4,2,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
101510,4,4,4,5,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
106109,2,4,5,2,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
111569,2,4,1,1,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
105734,4,4,1,1,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
101130,5,2,3,1,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
101511,3,3,4,4,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
106347,2,5,1,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
110842,4,3,4,2,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
106446,2,5,3,2,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
101635,1,5,2,5,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
100561,5,2,3,4,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
105711,1,3,3,3,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
105923,2,2,4,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
105357,2,1,3,3,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
100884,4,3,1,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
110481,4,5,2,3,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
106483,1,4,4,4,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
111591,2,4,1,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100906,4,4,3,3,1,3,Employee Surveys/Feedback Forms,Quarterly surveys
111326,3,3,3,2,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
106294,3,1,4,2,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
106605,4,5,2,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100801,4,5,2,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
101422,2,4,4,5,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
110471,4,4,4,4,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
100326,3,4,5,5,1,3,Employee Surveys/Feedback Forms,Quarterly surveys
110665,5,3,5,4,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
105902,4,4,3,5,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
111703,4,5,3,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
101100,2,4,1,3,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100468,2,4,3,2,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
110703,5,3,3,4,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
106494,4,5,4,3,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110380,4,2,2,2,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
111198,3,4,4,2,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
101652,2,3,1,1,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
110461,4,3,2,1,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
111276,3,4,2,1,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
111220,3,4,5,5,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
110580,3,4,4,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
111584,3,2,2,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
101154,1,2,4,2,4,3,Employee Surveys/Feedback Forms,Quarterly surveys
101274,1,1,3,3,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
101647,4,3,3,5,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
100762,2,4,1,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
101345,1,4,2,4,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
105323,5,4,4,2,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110858,2,4,1,3,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
111318,4,3,3,2,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
106017,5,4,5,3,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
106687,3,4,3,5,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
106013,4,2,2,5,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
106314,2,2,3,5,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
105458,2,3,2,3,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
110836,4,4,3,4,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
110980,2,5,2,2,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
106008,4,3,3,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
105441,3,3,3,4,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
101666,2,5,5,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
105754,1,4,2,3,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
100874,4,5,4,4,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
101560,3,3,3,2,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
100869,3,4,2,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
105997,3,5,3,3,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
101005,3,5,3,4,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
110876,2,2,1,4,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
100520,2,4,5,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
105889,1,3,1,4,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
100620,5,2,1,1,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
106555,2,3,3,3,1,2,Employee Surveys/Feedback Forms,Quarterly surveys
106392,5,2,5,3,1,2,Employee Surveys/Feedback Forms,Quarterly surveys
106285,3,2,2,4,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
110412,2,2,3,5,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
100799,1,4,3,3,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
106480,2,5,1,3,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
106383,3,5,1,2,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
105808,3,4,3,4,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
100815,3,2,2,2,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
100692,3,3,4,4,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
111356,2,4,5,4,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
110833,1,5,2,2,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
106621,3,3,1,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
101147,4,4,2,4,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
105401,4,4,3,4,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
101615,2,4,2,3,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
105685,2,4,3,2,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
101499,2,2,4,3,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
101434,5,4,2,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
110746,5,5,5,5,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
101401,4,4,4,1,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110590,3,2,4,5,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
106673,3,2,5,4,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
110450,2,3,2,3,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100709,4,4,3,4,1,3,Employee Surveys/Feedback Forms,Quarterly surveys
111486,3,4,2,4,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
106069,3,2,5,5,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
105293,5,4,2,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
106467,1,1,5,3,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110725,3,5,1,2,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
101023,3,1,3,5,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
100317,2,1,5,5,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
105736,4,3,5,3,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
100526,3,2,2,2,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
100338,5,3,2,1,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
105951,4,5,2,4,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
100282,2,5,4,4,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
105296,2,2,1,5,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
101058,5,5,2,2,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
111572,4,5,2,1,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
105574,3,2,5,3,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
110865,4,3,5,1,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100667,4,4,4,5,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
101043,5,3,4,4,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
101525,2,2,4,5,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110658,2,1,1,4,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
100353,2,4,1,5,4,3,Employee Surveys/Feedback Forms,Quarterly surveys
101543,5,1,4,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
106547,4,5,5,3,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
106093,4,2,5,4,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
111299,2,2,5,2,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
111643,2,2,5,4,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
111176,3,3,4,5,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
106363,4,5,2,3,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
100583,2,5,1,5,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
101135,4,3,5,2,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
100821,3,1,4,2,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
101114,3,1,2,3,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
106442,3,2,3,4,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
106459,3,4,1,3,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
106166,3,2,4,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
110277,3,5,4,3,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
106590,4,4,5,3,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
105963,4,3,5,4,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
111680,2,3,4,1,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
111336,4,4,1,2,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
110287,4,1,5,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
100973,2,4,4,3,4,3,Employee Surveys/Feedback Forms,Quarterly surveys
106029,2,5,3,4,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
100950,4,1,1,4,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110492,5,4,4,1,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
111104,2,4,1,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
100718,3,3,5,3,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
106225,4,2,4,2,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
106518,3,5,3,5,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
106073,3,4,1,1,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
100331,4,1,1,2,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
106257,2,2,4,3,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
111378,1,2,3,3,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
100628,4,4,2,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
106034,4,2,1,1,4,3,Employee Surveys/Feedback Forms,Quarterly surveys
106254,2,4,3,5,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
110433,1,3,3,3,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
110744,4,4,5,5,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
106214,2,2,3,1,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
